Model,Accuracy (%),Precision,Recall,F1-Score,ROC-AUC,_raw_acc,_raw_f1
Logistic Regression,70.52 ± 8.06,0.7217,0.7111,0.7117,0.7815,0.7051693404634581,0.7116666666666667
DNN,70.48 ± 9.07,0.7208,0.7235,0.7209,0.7568,0.704812834224599,0.7208797032326444
SVM (RBF),66.29 ± 9.54,0.6665,0.7346,0.6950,0.7440,0.6629233511586452,0.6950066830985052
Random Forest,54.80 ± 8.67,0.5566,0.6562,0.5967,0.5285,0.5479500891265597,0.5967045993361783
1DCNN,54.21 ± 7.80,0.5644,0.6458,0.5924,0.5732,0.5420677361853833,0.5923966000801
